      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621309583.00 2158.00000 186401.00   22 19 14.70717  114 10 06.74563        3.758   0.079   2.040  -0.006   0.190   1.005   0.121  -1.1225962080   0.4953220139  78.5614575836 2
1621309584.00 2158.00000 186402.00   22 19 14.72046  114 10 06.82912        3.750   0.087   2.836  -0.003   0.087   1.490   0.236  -0.8370111246   0.2264386502  78.9027112464 2
1621309585.00 2158.00000 186403.00   22 19 14.73790  114 10 06.94220        3.738   0.047   3.711  -0.066   0.092   1.379  -0.120  -0.6780382548   0.7166727989  79.3543967946 2
1621309586.00 2158.00000 186404.00   22 19 14.75921  114 10 07.08029        3.745   0.145   4.256  -0.056   0.033   0.407   0.490  -0.5330570143   0.7896733516  79.1092854499 2
1621309587.00 2158.00000 186405.00   22 19 14.78381  114 10 07.23577        3.769   0.115   4.854  -0.063  -0.228   1.091   0.410  -0.3205698864   0.9259570927  78.8890404734 2
1621309588.00 2158.00000 186406.00   22 19 14.81223  114 10 07.41441        3.789   0.092   5.450  -0.041  -0.760   1.309   0.068  -0.0279546108   0.9406878376  78.8754212666 2
1621309589.00 2158.00000 186407.00   22 19 14.84435  114 10 07.60876        3.820   0.098   5.832  -0.053  -1.747  -0.462  -0.616  -0.1767574798   0.7513883117  78.5017381926 2
1621309590.00 2158.00000 186408.00   22 19 14.87905  114 10 07.81412        3.866   0.130   6.116  -0.045  -1.016  -0.490  -1.390   0.2434726855   0.6632043774  78.2147780105 2
1621309591.00 2158.00000 186409.00   22 19 14.91697  114 10 08.03076        3.894   0.150   6.409  -0.057   0.012  -1.807  -0.885  -0.0017016847   0.6053929359  78.0206656391 2
1621309592.00 2158.00000 186410.00   22 19 14.95614  114 10 08.25102        3.932   0.141   6.257  -0.127   0.735  -0.899   0.538  -0.2344371410   0.1747865050  77.8399318322 2
1621309593.00 2158.00000 186411.00   22 19 14.99465  114 10 08.46625        3.941   0.142   6.125  -0.000  -0.626   0.886   0.096  -0.0593297797   0.6996616819  77.6832336048 2
1621309594.00 2158.00000 186412.00   22 19 15.03241  114 10 08.67270        3.947   0.116   5.954  -0.072   0.329  -0.944   0.677  -0.2925980868   0.4143000521  77.5377768094 2
1621309595.00 2158.00000 186413.00   22 19 15.07263  114 10 08.88780        3.943   0.051   6.493  -0.188   8.695   1.495  -6.968  -0.5237120726   0.9218890924  77.3290139071 2
1621309596.00 2158.00000 186414.00   22 19 15.11661  114 10 09.12024        3.959   0.138   6.816  -0.100  -0.553   1.664   1.306  -0.3991224001   0.6775741589  77.0791298239 2
1621309597.00 2158.00000 186415.00   22 19 15.16169  114 10 09.35563        4.026   0.179   6.919  -0.074  -0.719  -0.031   0.490  -0.3344010876   0.9818892327  76.9140492240 2
1621309598.00 2158.00000 186416.00   22 19 15.20773  114 10 09.59660        4.145   0.137   7.135  -0.053  -0.512   1.218   0.355   0.0041940511   1.1240171433  77.0611847858 2
1621309599.00 2158.00000 186417.00   22 19 15.25491  114 10 09.84636        4.309   0.095   7.593   0.022   2.003  -1.871   0.530  -0.6704981302   0.8842858723  77.6410238041 2
1621309600.00 2158.00000 186418.00   22 19 15.29988  114 10 10.10209        4.447   0.134   7.549  -0.009   1.143  -1.040   0.407  -1.0404111419   1.0452125282  77.9724741590 2
1621309601.00 2158.00000 186419.00   22 19 15.34680  114 10 10.36178        4.591   0.132   7.635  -0.128  -1.181   1.501  -0.433  -0.9793051930   1.2419834238  77.1339848033 2
1621309602.00 2158.00000 186420.00   22 19 15.39776  114 10 10.62435        4.701   0.137   7.663  -0.129  -1.024   0.447   1.370  -1.1295175382   0.6071461868  76.4692563581 2
1621309603.00 2158.00000 186421.00   22 19 15.44750  114 10 10.89426        4.814   0.206   8.108  -0.101  -0.255  -0.503   0.109  -1.2384711925   0.8244518897  78.4596601722 2
1621309604.00 2158.00000 186422.00   22 19 15.48532  114 10 11.18514        4.910   0.208   8.709  -0.133   1.807   1.499   2.195  -1.3765311028   0.9924316561  82.0797851387 3
1621309605.00 2158.00000 186423.00   22 19 15.51377  114 10 11.50007        5.083   0.257   9.235  -0.164   0.583   3.393   0.719  -1.0831136863   1.3066875476  82.8960437320 3
1621309606.00 2158.00000 186424.00   22 19 15.54941  114 10 11.82518        5.174   0.176   9.506  -0.025  -1.123  -0.628  -1.922  -0.1599411685   0.5417144066  80.3766279856 2
1621309607.00 2158.00000 186425.00   22 19 15.59822  114 10 12.15091        5.244   0.177   9.541  -0.046   1.132  -6.018  -0.009   0.5709639020   0.4792791956  78.8510591012 2
1621309608.00 2158.00000 186426.00   22 19 15.65316  114 10 12.48274        5.364   0.154   9.818  -0.184  -0.826   2.940   0.902   0.9576817658   1.2558833799  78.1332002796 2
1621309609.00 2158.00000 186427.00   22 19 15.71689  114 10 12.82852        5.470   0.132  10.222  -0.125  -0.059  -0.587  -0.217  -0.3940975602   0.5972168282  77.4862850923 2
1621309610.00 2158.00000 186428.00   22 19 15.78129  114 10 13.18316        5.682   0.163  10.354  -0.184  -0.413   0.883   0.368   0.3730413613   0.2886847851  77.7654014822 2
1621309611.00 2158.00000 186429.00   22 19 15.84679  114 10 13.54436        5.765   0.268  10.633  -0.112   0.404   1.415   1.186  -0.3041718343   1.4089662436  77.9379477222 2
1621309612.00 2158.00000 186430.00   22 19 15.91144  114 10 13.91134        5.914   0.232  10.781  -0.103   0.174  -2.000  -0.629  -0.3778599363   1.1394927334  78.1434562242 2
1621309613.00 2158.00000 186431.00   22 19 15.97619  114 10 14.27823        6.044   0.266  10.533  -0.141  -0.650   3.626  -0.309  -0.6312218733   0.9995993581  77.9705490208 2
1621309614.00 2158.00000 186432.00   22 19 16.03991  114 10 14.63682        6.169   0.246  10.259  -0.106  -2.449   0.099  -0.466  -0.9386595670   0.6463823366  77.9967618399 2
1621309615.00 2158.00000 186433.00   22 19 16.10142  114 10 14.98384        6.193   0.236   9.956  -0.112   0.038   1.156   0.624  -0.9106934970   0.4936661659  77.9183697544 2
1621309616.00 2158.00000 186434.00   22 19 16.16177  114 10 15.32087        6.209   0.212   9.627  -0.011  -1.025  -2.052   1.628  -0.9682814850   0.0602465122  77.7701856798 2
1621309617.00 2158.00000 186435.00   22 19 16.21958  114 10 15.63929        6.215   0.174   8.857  -0.099  -0.608  -0.085   0.541  -1.0678157132   0.4154459677  77.6173778358 2
1621309618.00 2158.00000 186436.00   22 19 16.26790  114 10 15.90904        6.211   0.148   6.463  -0.022   0.339  -3.969  -0.261  -0.1641008421   0.0007448451  77.6193545402 2
1621309619.00 2158.00000 186437.00   22 19 16.29424  114 10 16.05607        6.213   0.040   2.124  -0.006   0.363  -3.113  -0.272   0.3863053342   0.1629262786  77.5368199699 2
1621309620.00 2158.00000 186438.00   22 19 16.29859  114 10 16.08101        6.218   0.005  -0.006   0.014  -0.510   0.417   0.045   0.5984658762   0.6900359910  77.5897268927 2
1621309621.00 2158.00000 186439.00   22 19 16.29856  114 10 16.08101        6.223   0.004  -0.003  -0.004   0.345   0.010  -0.023   0.6033245583   0.6625110985  77.5795282439 2
1621309622.00 2158.00000 186440.00   22 19 16.29855  114 10 16.08104        6.216   0.001   0.000  -0.003  -0.155   0.025   0.086   0.6029005695   0.6609870308  77.5785427565 2
1621309623.00 2158.00000 186441.00   22 19 16.29854  114 10 16.08112        6.199  -0.001   0.001  -0.003   0.687   0.021   0.011   0.6026885751   0.6599671659  77.5763884352 2
1621309624.00 2158.00000 186442.00   22 19 16.29852  114 10 16.08135        6.158  -0.001   0.002  -0.003  -0.341  -0.006   0.034   0.6010613750   0.6560997008  77.5761535225 2
1621309625.00 2158.00000 186443.00   22 19 16.29837  114 10 16.08217        6.079  -0.004   0.002  -0.004   0.458  -0.006  -0.029   0.6055877416   0.6629007098  77.5762280070 2
1621309626.00 2158.00000 186444.00   22 19 16.29832  114 10 16.08236        6.058   0.004  -0.000  -0.000  -0.276   0.029   0.010   0.5847893736   0.6556986303  77.5768697197 2
1621309627.00 2158.00000 186445.00   22 19 16.29832  114 10 16.08235        6.058  -0.001   0.002   0.002  -0.330  -0.050  -0.046   0.5908168896   0.6560653233  77.5759529873 2
1621309628.00 2158.00000 186446.00   22 19 16.29832  114 10 16.08235        6.058   0.002   0.003   0.003   0.486  -0.033  -0.024   0.5859352892   0.6587066588  77.5758383957 2
1621309629.00 2158.00000 186447.00   22 19 16.29832  114 10 16.08234        6.058  -0.002   0.000   0.003   0.594   0.014  -0.000   0.5844455989   0.6532234527  77.5751393872 2
1621309630.00 2158.00000 186448.00   22 19 16.29832  114 10 16.08233        6.058   0.003   0.006   0.006  -0.505  -0.141   0.135   0.6004998763   0.6573888558  77.5744346491 2
1621309631.00 2158.00000 186449.00   22 19 16.29832  114 10 16.08233        6.058  -0.008  -0.003   0.009  -0.031   0.011   0.007   0.6031813188   0.6505763876  77.5744346491 2
1621309632.00 2158.00000 186450.00   22 19 16.29832  114 10 16.08232        6.058   0.001   0.002   0.008  -0.177  -0.051  -0.095   0.6140044916   0.6517795990  77.5755289985 2
1621309633.00 2158.00000 186451.00   22 19 16.29832  114 10 16.08232        6.058  -0.000  -0.002   0.008  -0.174   0.026   0.045   0.6038344907   0.6548162753  77.5749789590 2
1621309634.00 2158.00000 186452.00   22 19 16.29832  114 10 16.08231        6.058   0.001  -0.001   0.008  -0.522  -0.027   0.030   0.6075357981   0.6537734921  77.5745148632 2
1621309635.00 2158.00000 186453.00   22 19 16.29832  114 10 16.08231        6.058   0.004   0.002   0.010  -0.026   0.048  -0.098   0.6061836177   0.6549365965  77.5743658942 2
1621309636.00 2158.00000 186454.00   22 19 16.29833  114 10 16.08230        6.058   0.003  -0.001   0.009   0.506  -0.083   0.037   0.6069341924   0.6521692103  77.5754373252 2
1621309637.00 2158.00000 186455.00   22 19 16.29833  114 10 16.08230        6.058   0.002   0.001   0.004   0.545  -0.006  -0.074   0.6093921813   0.6528338414  77.5742398435 2
1621309638.00 2158.00000 186456.00   22 19 16.29833  114 10 16.08230        6.058   0.001  -0.001   0.004   0.593   0.042  -0.065   0.6077764403   0.6536187935  77.5747956125 2
1621309639.00 2158.00000 186457.00   22 19 16.29833  114 10 16.08230        6.058  -0.002  -0.002   0.005   0.431  -0.076   0.018   0.6070430544   0.6532005343  77.5747497759 2
1621309640.00 2158.00000 186458.00   22 19 16.29833  114 10 16.08230        6.058  -0.002  -0.001   0.001   0.239   0.040  -0.025   0.6067737642   0.6546100105  77.5751565759 2
1621309641.00 2158.00000 186459.00   22 19 16.29833  114 10 16.08229        6.058  -0.002   0.000   0.000   0.043  -0.078  -0.003   0.6051293753   0.6531890752  77.5751794942 2
1621309642.00 2158.00000 186460.00   22 19 16.29833  114 10 16.08229        6.058  -0.004  -0.002  -0.002  -0.414   0.099  -0.029   0.6053413697   0.6537161964  77.5765603225 3
1621309643.00 2158.00000 186461.00   22 19 16.29833  114 10 16.08229        6.058  -0.001   0.000  -0.003  -0.712  -0.079  -0.032   0.6065331219   0.6526676836  77.5753800295 3
1621309644.00 2158.00000 186462.00   22 19 16.29833  114 10 16.08229        6.058   0.001   0.002  -0.003  -0.562   0.100  -0.074   0.6059601641   0.6533265851  77.5747039393 3
1621309645.00 2158.00000 186463.00   22 19 16.29833  114 10 16.08229        6.058   0.000   0.002  -0.001  -0.564  -0.034  -0.104   0.6046652795   0.6521119145  77.5745377815 2
1621309646.00 2158.00000 186464.00   22 19 16.29833  114 10 16.08229        6.058  -0.002   0.002  -0.001  -0.595  -0.019  -0.012   0.6051236457   0.6518598131  77.5754086774 2
1621309647.00 2158.00000 186465.00   22 19 16.29833  114 10 16.08229        6.058   0.001  -0.000  -0.000  -0.657  -0.047  -0.066   0.6062237247   0.6518483539  77.5751794942 2
1621309648.00 2158.00000 186466.00   22 19 16.29833  114 10 16.08229        6.058   0.002   0.002  -0.001  -0.561  -0.095  -0.024   0.6079139502   0.6513384215  77.5744575674 2
1621309649.00 2158.00000 186467.00   22 19 16.29833  114 10 16.08229        6.058  -0.000  -0.000  -0.003  -0.457   0.042  -0.053   0.6042241020   0.6509602694  77.5741940068 2
1621309650.00 2158.00000 186468.00   22 19 16.29833  114 10 16.08229        6.058   0.002  -0.000  -0.003  -0.610  -0.075  -0.070   0.6090197588   0.6515618750  77.5741825477 3
1621309651.00 2158.00000 186469.00   22 19 16.29833  114 10 16.08229        6.058  -0.001   0.001  -0.004  -0.490  -0.050  -0.059   0.6082634545   0.6503357454  77.5752940858 3
1621309652.00 2158.00000 186470.00   22 19 16.29833  114 10 16.08229        6.058  -0.001  -0.001  -0.001  -0.471  -0.000  -0.085   0.6068539783   0.6497054918  77.5752081421 2
1621309653.00 2158.00000 186471.00   22 19 16.29833  114 10 16.08229        6.058  -0.002  -0.000  -0.001  -0.347  -0.017  -0.045   0.6067336572   0.6504045003  77.5756607788 2
1621309654.00 2158.00000 186472.00   22 19 16.29833  114 10 16.08229        6.058  -0.002   0.001  -0.003  -0.224   0.076  -0.112   0.6060002712   0.6523926638  77.5760618492 3
1621309655.00 2158.00000 186473.00   22 19 16.29833  114 10 16.08229        6.058   0.001   0.001  -0.004  -0.282  -0.119  -0.047   0.6076675784   0.6485137396  77.5760847676 3
1621309656.00 2158.00000 186474.00   22 19 16.29833  114 10 16.08229        6.058   0.001   0.002  -0.003  -0.175   0.058  -0.116   0.6053470993   0.6504675257  77.5756607788 3
1621309657.00 2158.00000 186475.00   22 19 16.29833  114 10 16.08229        6.058   0.000   0.000  -0.004  -0.357  -0.004  -0.064   0.6066992797   0.6495164157  77.5754659731 3
1621309658.00 2158.00000 186476.00   22 19 16.29833  114 10 16.08229        6.058  -0.000  -0.001  -0.001  -0.352  -0.025  -0.088   0.6063841529   0.6496080890  77.5758899619 3
1621309659.00 2158.00000 186477.00   22 19 16.29833  114 10 16.08229        6.058   0.002   0.000  -0.002   0.021   0.046  -0.063   0.6067279276   0.6504961735  77.5770186888 3
1621309660.00 2158.00000 186478.00   22 19 16.29833  114 10 16.08229        6.058   0.001   0.001  -0.006   0.076  -0.034  -0.110   0.6055189866   0.6493044213  77.5766176183 3
1621309661.00 2158.00000 186479.00   22 19 16.29833  114 10 16.08229        6.058  -0.000  -0.004  -0.007  -0.097   0.142  -0.081   0.6073008854   0.6528854076  77.5766348070 3
1621309662.00 2158.00000 186480.00   22 19 16.29833  114 10 16.08229        6.058   0.001   0.000  -0.008  -0.475  -0.022  -0.049   0.6062237247   0.6528624892  77.5777291564 3
1621309663.00 2158.00000 186481.00   22 19 16.29833  114 10 16.08229        6.058   0.003  -0.000  -0.007  -0.418  -0.049  -0.065   0.6077535220   0.6506795200  77.5777062381 3
1621309664.00 2158.00000 186482.00   22 19 16.29833  114 10 16.08228        6.058   0.004  -0.001  -0.005  -0.292   0.083  -0.066   0.6070659727   0.6528796780  77.5764514605 3
1621309665.00 2158.00000 186483.00   22 19 16.29833  114 10 16.08228        6.058   0.003  -0.001  -0.005  -0.431  -0.078  -0.003   0.6061950768   0.6514243652  77.5775057029 3
1621309666.00 2158.00000 186484.00   22 19 16.29833  114 10 16.08228        6.058   0.000  -0.004  -0.003  -0.562   0.018  -0.032   0.6114261815   0.6521119145  77.5785026494 3
1621309667.00 2158.00000 186485.00   22 19 16.29833  114 10 16.08228        6.058   0.002  -0.002  -0.003  -0.581  -0.065  -0.052   0.6040579443   0.6527307089  77.5771963057 3
1621309668.00 2158.00000 186486.00   22 19 16.29833  114 10 16.08228        6.058  -0.002   0.001  -0.002  -0.426  -0.009  -0.046   0.6107443617   0.6527478977  77.5775400804 3
1621309669.00 2158.00000 186487.00   22 19 16.29833  114 10 16.08228        6.058  -0.002   0.001  -0.002  -0.446   0.045  -0.039   0.6047111161   0.6533724217  77.5774312184 3
1621309670.00 2158.00000 186488.00   22 19 16.29833  114 10 16.08228        6.058  -0.001  -0.001  -0.001  -0.609  -0.091   0.049   0.6084811784   0.6520832666  77.5777119677 3
1621309671.00 2158.00000 186489.00   22 19 16.29833  114 10 16.08228        6.058  -0.002  -0.000   0.002  -0.535  -0.023  -0.139   0.6071461868   0.6518540835  77.5781932522 3
1621309672.00 2158.00000 186490.00   22 19 16.29833  114 10 16.08228        6.058  -0.004   0.000   0.003  -0.319   0.022  -0.091   0.6063268571   0.6529484329  77.5781989818 3
1621309673.00 2158.00000 186491.00   22 19 16.29833  114 10 16.08228        6.058  -0.003   0.001   0.004   0.136  -0.141  -0.081   0.6069456515   0.6502498017  77.5781359565 3
1621309674.00 2158.00000 186492.00   22 19 16.29833  114 10 16.08228        6.058  -0.002   0.001   0.004   0.512   0.081  -0.066   0.6040235668   0.6534297175  77.5780213649 3
1621309675.00 2158.00000 186493.00   22 19 16.29833  114 10 16.08228        6.058  -0.003   0.001   0.003   0.392   0.077  -0.045   0.6063096684   0.6546959542  77.5785484861 3
1621309676.00 2158.00000 186494.00   22 19 16.29833  114 10 16.08228        6.058  -0.001   0.003   0.003   0.533   0.019  -0.053   0.5996977354   0.6541287260  77.5773395451 3
1621309677.00 2158.00000 186495.00   22 19 16.29833  114 10 16.08228        6.058  -0.000   0.004   0.003   0.447   0.080   0.109   0.6055304458   0.6531948048  77.5793907340 3
1621309678.00 2158.00000 186496.00   22 19 16.29833  114 10 16.08228        6.058   0.001   0.001  -0.000   0.518  -0.008  -0.001   0.6048027894   0.6528510301  77.5792417650 2
1621309679.00 2158.00000 186497.00   22 19 16.29833  114 10 16.08228        6.058   0.001  -0.000   0.001   0.617   0.026  -0.023   0.6035308231   0.6517394920  77.5788120467 2
1621309680.00 2158.00000 186498.00   22 19 16.29833  114 10 16.08228        6.058   0.002  -0.001  -0.001   0.464   0.080   0.013   0.6044131781   0.6540313231  77.5795397031 2
1621309681.00 2158.00000 186499.00   22 19 16.29833  114 10 16.08228        6.058   0.003   0.001  -0.002   0.454  -0.074  -0.028   0.6023734483   0.6506737905  77.5781073086 2
1621309682.00 2158.00000 186500.00   22 19 16.29833  114 10 16.08228        6.058   0.001   0.001  -0.004   0.423   0.062  -0.011   0.6030953752   0.6495622523  77.5797230496 2
1621309683.00 2158.00000 186501.00   22 19 16.29833  114 10 16.08228        6.058   0.004  -0.001  -0.003   0.077   0.031  -0.133   0.6058684909   0.6511035088  77.5799694214 2
1621309684.00 2158.00000 186502.00   22 19 16.29833  114 10 16.08228        6.058   0.002   0.001  -0.006   0.056   0.012   0.015   0.5986091156   0.6522666131  77.5819518554 2
1621309685.00 2158.00000 186503.00   22 19 16.29833  114 10 16.08228        6.058   0.000   0.004  -0.007  -0.394   0.082  -0.036   0.6027630596   0.6525129850  77.5807543736 2
1621309686.00 2158.00000 186504.00   22 19 16.29833  114 10 16.08228        6.058  -0.000   0.000  -0.010  -0.356  -0.074  -0.067   0.6052783444   0.6511722637  77.5807830215 2
1621309687.00 2158.00000 186505.00   22 19 16.29833  114 10 16.08227        6.058  -0.001   0.001  -0.012  -0.250  -0.009   0.001   0.5993253129   0.6491325340  77.5815278666 2
1621309688.00 2158.00000 186506.00   22 19 16.29833  114 10 16.08227        6.058   0.000   0.002  -0.012  -0.449   0.018  -0.061   0.6056736852   0.6485767649  77.5804392468 2
1621309689.00 2158.00000 186507.00   22 19 16.29833  114 10 16.08227        6.058   0.001  -0.002  -0.012  -0.470  -0.125  -0.061   0.6002649636   0.6494763087  77.5809606384 2
1621309690.00 2158.00000 186508.00   22 19 16.29833  114 10 16.08227        6.058  -0.005  -0.002  -0.011  -0.440   0.078  -0.064   0.6035823893   0.6531145907  77.5811210666 2
1621309691.00 2158.00000 186509.00   22 19 16.29833  114 10 16.08227        6.058   0.001   0.002  -0.010  -0.248  -0.012  -0.082   0.6032099667   0.6536703597  77.5807887510 2
1621309692.00 2158.00000 186510.00   22 19 16.29833  114 10 16.08227        6.058  -0.005  -0.002  -0.014  -0.467   0.011   0.026   0.6007519778   0.6524327709  77.5833899794 2
1621309693.00 2158.00000 186511.00   22 19 16.29839  114 10 16.08226        6.057  -0.003  -0.003  -0.015  -0.514   0.077   0.001   0.6019723779   0.6559621909  77.5832123625 2
1621309694.00 2158.00000 186512.00   22 19 16.29842  114 10 16.08302        6.060  -0.001  -0.000  -0.017  -0.560  -0.162  -0.002   0.6016400624   0.6509316215  77.5836707288 2
1621309695.00 2158.00000 186513.00   22 19 16.29853  114 10 16.08299        6.069  -0.002   0.000  -0.020  -0.422   0.039   0.104   0.6007748961   0.6516191708  77.5824331399 2
1621309696.00 2158.00000 186514.00   22 19 16.29864  114 10 16.08282        6.061  -0.003  -0.000  -0.023  -0.461  -0.038  -0.059   0.6000357805   0.6524213117  77.5825076244 2
1621309697.00 2158.00000 186515.00   22 19 16.29970  114 10 16.08801        6.043   0.010   0.317  -0.028  -0.475   0.363   0.030   0.6722800289   0.7192224611  77.5797918045 2
1621309698.00 2158.00000 186516.00   22 19 16.30211  114 10 16.10036        6.027   0.009   0.305  -0.033   0.475  -0.007   0.017   0.7642397550   0.7090467306  77.5912624195 2
1621309699.00 2158.00000 186517.00   22 19 16.30472  114 10 16.11287        6.007  -0.011   0.479  -0.039   0.331   0.094  -0.036   0.6973412029   0.5714279978  77.5793620861 2
1621309700.00 2158.00000 186518.00   22 19 16.30830  114 10 16.12968        5.982  -0.001   0.537  -0.040  -0.195   0.388   0.013   0.4925202503   0.4128390097  77.5821695793 2
1621309701.00 2158.00000 186519.00   22 19 16.31312  114 10 16.15264        5.956   0.024   0.845  -0.040  -0.107   0.078   0.105   0.2643168900   0.1194502411  77.5511496443 2
1621309702.00 2158.00000 186520.00   22 19 16.31975  114 10 16.18778        5.927   0.019   1.266  -0.045   0.694   0.411   0.166   0.5513630158  -0.0282181714  77.5065964462 2
1621309703.00 2158.00000 186521.00   22 19 16.33250  114 10 16.25249        5.870   0.038   2.687  -0.093  -0.447   1.801  -0.297   0.2938700531   0.5766705616  77.5098164690 2
1621309704.00 2158.00000 186522.00   22 19 16.35484  114 10 16.37244        5.818   0.121   4.225  -0.101  -0.837   1.408  -0.462   0.4847108355   0.5352915497  77.8975599272 2
1621309705.00 2158.00000 186523.00   22 19 16.36869  114 10 16.54330        5.755   0.299   5.354  -0.116   2.585  -1.573   0.260  -0.2406250852   0.3852797398  90.6952025351 2
1621309706.00 2158.00000 186524.00   22 19 16.31864  114 10 16.72655        5.692   0.306   5.469  -0.079   3.335  -1.713   0.760  -0.5361853638  -0.2157587169 115.4149051073 2
1621309707.00 2158.00000 186525.00   22 19 16.20564  114 10 16.87530        5.605   0.326   5.630  -0.128   1.788   0.203   0.348  -1.3141589172  -0.2567366584 135.4612430462 2
1621309708.00 2158.00000 186526.00   22 19 16.04289  114 10 16.98910        5.478   0.267   6.398  -0.051   0.689  -0.586  -1.814  -1.0165245314  -0.0508958409 152.0079948794 2
1621309709.00 2158.00000 186527.00   22 19 15.83804  114 10 17.06349        5.384   0.258   6.989  -0.124  -0.173   1.331  -0.404  -0.9166637173   0.2218950949 165.1924183764 2
1621309710.00 2158.00000 186528.00   22 19 15.61236  114 10 17.11023        5.302   0.202   7.135  -0.090  -1.362   0.951   0.997  -0.8279182844   0.0541731595 168.8100509765 2
1621309711.00 2158.00000 186529.00   22 19 15.38295  114 10 17.15188        5.228   0.230   7.096  -0.136   1.255  -1.323  -0.299  -1.1539083515   0.1056018512 169.1266101583 2
1621309712.00 2158.00000 186530.00   22 19 15.16030  114 10 17.19169        5.205   0.201   6.646  -0.056   0.861  -2.475  -1.470  -0.9853212499   0.2978120028 169.0051946720 2
1621309713.00 2158.00000 186531.00   22 19 14.96580  114 10 17.22765        5.149   0.110   5.439  -0.063  -1.433   1.385   1.616  -1.1031958571   0.1704148370 168.7153238643 2
1621309714.00 2158.00000 186532.00   22 19 14.81247  114 10 17.25617        5.107   0.072   4.210  -0.111  -0.638   0.268   0.207  -0.7457618661   0.1145743703 168.5226496169 1
1621309715.00 2158.00000 186533.00   22 19 14.70232  114 10 17.27720        5.062   0.090   2.726  -0.008  -0.268  -2.365  -0.742  -0.8543832049   0.2843016579 168.3035047194 1
1621309716.00 2158.00000 186534.00   22 19 14.63630  114 10 17.28995        5.028   0.067   1.590  -0.040  -0.524  -0.599   0.549  -1.0000462652   0.3910780726 168.0828071063 1
1621309717.00 2158.00000 186535.00   22 19 14.59660  114 10 17.29751        4.996   0.029   0.934  -0.026  -0.270  -0.907   0.177  -1.0548955149   0.2782569532 167.9038208207 2
1621309718.00 2158.00000 186536.00   22 19 14.57420  114 10 17.30147        4.964   0.036   0.470  -0.036   0.013  -0.389  -0.067  -1.0063373418   0.2534077736 167.8916168197 2
1621309719.00 2158.00000 186537.00   22 19 14.56597  114 10 17.30270        4.934   0.014   0.202  -0.025   0.418   0.425  -0.078  -1.0620746761   0.4040211892 167.8968880314 2
1621309720.00 2158.00000 186538.00   22 19 14.55266  114 10 17.30492        4.903   0.040   0.643  -0.036  -0.564   0.411  -0.103  -1.0296280762   0.4523272609 167.9834161176 2
1621309721.00 2158.00000 186539.00   22 19 14.52069  114 10 17.31077        4.867   0.033   1.485  -0.057   0.280   1.734  -0.290  -0.8994635243   0.7151601903 168.2017932516 2
1621309722.00 2158.00000 186540.00   22 19 14.45579  114 10 17.32335        4.836   0.050   2.557  -0.039   0.249   0.655   0.113  -0.8862740358   0.4956428703 168.2110465200 2
1621309723.00 2158.00000 186541.00   22 19 14.35865  114 10 17.34223        4.801   0.108   3.556  -0.038   0.114   0.613  -0.580  -0.7227175036   0.7156643932 168.1966079836 1
1621309724.00 2158.00000 186542.00   22 19 14.23306  114 10 17.36661        4.772   0.108   4.211  -0.072   0.746   1.029  -0.711  -0.6199747118   0.6775455111 168.3170666304 1
1621309725.00 2158.00000 186543.00   22 19 14.09457  114 10 17.39374        4.756   0.101   4.455  -0.072  -0.088   0.161   0.509  -0.6386645951   0.7384681134 168.2804145203 1
1621309726.00 2158.00000 186544.00   22 19 13.94546  114 10 17.42267        4.737   0.114   4.861  -0.063   0.142  -0.928  -0.422  -0.2534020441   0.6382577950 168.2910199691 1
1621309727.00 2158.00000 186545.00   22 19 13.78273  114 10 17.45459        4.740   0.074   5.208  -0.077  -0.772  -0.813   0.156  -0.1126836096   0.5561987796 168.2044460462 1
1621309728.00 2158.00000 186546.00   22 19 13.61024  114 10 17.48948        4.753   0.129   5.623  -0.085  -0.377   0.523  -0.326  -0.2058350879   0.7175723426 167.9864585235 1
1621309729.00 2158.00000 186547.00   22 19 13.42299  114 10 17.52854        4.777   0.062   6.101  -0.229  -0.722   4.105   3.292  -0.4187175567   1.1984500905 167.6572541632 1
1621309730.00 2158.00000 186548.00   22 19 13.21559  114 10 17.57127        4.787   0.101   6.789  -0.116  -1.027   1.426   0.607  -0.5865540836   1.0408695081 167.9221611997 1
1621309731.00 2158.00000 186549.00   22 19 12.98944  114 10 17.61841        4.849   0.225   7.299  -0.116   0.362   3.902  -0.801  -1.1908125631   1.1308697186 167.7502165654 2
1621309732.00 2158.00000 186550.00   22 19 12.75263  114 10 17.66854        4.849   0.198   7.551  -0.039   0.519  -0.089   0.987  -1.5622496425   0.4257076418 167.5679013950 2
1621309733.00 2158.00000 186551.00   22 19 12.51924  114 10 17.71616        4.851   0.125   6.962  -0.074   1.002  -2.455  -0.771  -1.7779739820   0.5597453884 168.0948506792 2
1621309734.00 2158.00000 186552.00   22 19 12.31583  114 10 17.75651        4.850   0.133   5.640  -0.001  -1.726  -0.953   0.369  -1.3503526611   0.4319013155 168.0838785374 2
